"lang" 
{ 
"Language" "greek" 
"Tokens" 
{ 
"GameUI_ReverseMouse" 		"Αντιστροφή ποντικιού"
"GameUI_Achievement_Points"		"%s1G"
"GameUI_Achievement_Menu_Range"	"%s1 από %s2"
"GameUI_Achievements_Earned"	"Ξεκλειδωμένα επιτεύγματα"
"GameUI_Achievement_Hide_Achieved"      "Κλειδωμένα μόνο"
"GameUI_Achievement_Hide_Unachieved"      "Κρύψιμο κλειδωμένων"
"GameUI_Achievement_Show_HUD"           "Εμφάνιση στο HUD"

"GameUI_Console_UserSettings" "Ρυθμίσεις χρήστη"
"GameUI_Console_Ep1_Saves" "Αποθηκεύσεις HL2: Episode One"
"GameUI_Console_Ep2_Saves" "Αποθηκεύσεις HL2: Episode Two"
"GameUI_Console_Portal_Saves" "Αποθηκεύσεις Portal"
"GameUI_Console_TF2_Saves" "Αποθηκεύσεις Team Fortress 2"
"GameUI_Console_HL2_Saves" "Αποθηκεύσεις Half-Life 2"

"GameUI_LoadFailed" "Η φόρτωση απέτυχε"
"GameUI_LoadFailed_Description" "Μια συσκευή αποθήκευσης αφαιρέθηκε κατά τη φόρτωση ή ένα αρχείο ήταν κατεστραμμένο.\n\nΑποτυχία φόρτωσης αποθήκευσης."

// strings for achievements that are shared across products
"HLX_KILL_ENEMIES_WITHPHYSICS_NAME"				"Κοκαλοθραύστης"
"HLX_KILL_ENEMIES_WITHPHYSICS_DESC"				"Σκοτώστε 30 εχθρούς πετώντας αντικείμενα."
"HLX_KILL_ENEMY_WITHHOPPERMINE_NAME"				"Θανάσιμη σοδειά"
"HLX_KILL_ENEMY_WITHHOPPERMINE_DESC"				"Σκοτώστε έναν εχθρό τοποθετώντας μια χοροπηδηχτή νάρκη."
"HLX_KILL_ENEMIES_WITHMANHACK_NAME"				"Με τα κρεμμυδάκια!"
"HLX_KILL_ENEMIES_WITHMANHACK_DESC"				"Σκοτώστε 5 εχθρούς με ένα Πετσοκόπτερο."
"HLX_KILL_SOLDIER_WITHHISGRENADE_NAME"				"Το φυσάει και δεν κρυώνει"
"HLX_KILL_SOLDIER_WITHHISGRENADE_DESC"				"Σκοτώστε ένα στρατιώτη Combine με τη δικιά του χειροβομβίδα."
"HLX_KILL_ENEMIES_WITHONEENERGYBALL_NAME"			"Συντηρητικός"
"HLX_KILL_ENEMIES_WITHONEENERGYBALL_DESC"			"Σκοτώστε πέντε εχθρούς με την ίδια ενεργειακή σφαίρα."
"HLX_KILL_ELITESOLDIER_WITHHISENERGYBALL_NAME"			"Σκέψου γρήγορα!"
"HLX_KILL_ELITESOLDIER_WITHHISENERGYBALL_DESC"			"Σκοτώστε έναν Επίλεκτο Στρατιώτη με την ίδια του την ενεργειακή σφαίρα."
"EPX_GET_ZOMBINEGRENADE_NAME"					"Τυμβωρύχος"
"EPX_GET_ZOMBINEGRENADE_DESC"					"Κλέψτε μια χειροβομβίδα από ένα Zombine."
"EPX_KILL_ZOMBIES_WITHFLARES_NAME"				"Zombie-δάδα"
"EPX_KILL_ZOMBIES_WITHFLARES_DESC"				"Χρησιμοποιήστε φωτοβολίδες για να πυρπολήσετε 15 zombie."

"GameUI_Language_English"				"Αγγλικά"
"GameUI_Language_German"				"Γερμανικά"
"GameUI_Language_French"				"Γαλλικά"
"GameUI_Language_Italian"				"Ιταλικά"
"GameUI_Language_Korean"				"Κορεατικά"
"GameUI_Language_Spanish"				"Ισπανικά"
"GameUI_Language_Simplified_Chinese"	"Απλοποιημένα Κινεζικά"
"GameUI_Language_Traditional_Chinese"	"Παραδοσιακά Κινεζικά"
"GameUI_Language_Russian"				"Ρωσικά"
"GameUI_Language_Thai"					"Ταϊλανδικά"
"GameUI_Language_Japanese"				"Ιαπωνικά"
"GameUI_Language_Portuguese"			"Πορτογαλικά"
"GameUI_Language_Polish"				"Πολωνικά"
"GameUI_Language_Danish"				"Δανικά"
"GameUI_Language_Dutch"					"Ολλανδικά"
"GameUI_Language_Finnish"				"Φινλανδικά"
"GameUI_Language_Norwegian"				"Νορβηγικά"
"GameUI_Language_Swedish"				"Σουηδικά"
"GameUI_Language_Romanian"				"Ρουμανικά"
"GameUI_Language_Turkish"				"Τουρκικά"
"GameUI_Language_Hungarian"				"Ουγγρικά"
"GameUI_Language_Czech"					"Τσεχικά"
"GameUI_Language_Brazilian"				"Πορτογαλικά – Βραζιλία"
"GameUI_Language_Bulgarian"				"Βουλγαρικά"
"GameUI_Language_Greek"					"Ελληνικά"
"GameUI_Language_Ukrainian"				"Ουκρανικά"

"GameUI_LoadDialog_Hr_Min"		"%s1 ώρ %s2 λεπ"
"GameUI_LoadDialog_Min_Sec"	"%s1 λεπ %s2 δευτ"
"GameUI_LoadDialog_Sec"		"%s1 δευτερόλεπτα"

"GameUI_DisableSprays"		"Απενεργοποίηση σπρέι"
"GameUI_FOV"			"Οπτικό πεδίο"
"GameUI_EnableHUDMinMode"	"Χρήση μικρού HUD"

"GameUI_DownloadFilter_Title"		"Όταν ο υπολογιστής σας επιχειρεί να πραγματοποιήσει λήψη\nπροσαρμοσμένου περιεχόμενου από έναν διακομιστή παιχνιδιού"
"GameUI_DownloadFilter_ALL"		"Να επιτρέπονται όλα τα προσαρμοσμένα αρχεία"
"GameUI_DownloadFilter_NoSounds"	"Να μην γίνει λήψη προσαρμοσμένων ήχων"
"GameUI_DownloadFilter_MapsOnly"	"Μόνο αρχεία χάρτη"
"GameUI_DownloadFilter_None"		"Να μην γίνει λήψη κανενός προσαρμοσμένου αρχείου"

"GameUI_GameMenu_Store"				"ΑΓΟΡΑ ΑΝΤΙΚΕΙΜΕΝΩΝ"
"GameUI_GameMenu_CharacterSetup"	"ΠΛΗΡΟΦΟΡΙΕΣ ΧΑΡΑΚΤΗΡΑ ΚΑΙ ΕΞΟΠΛΙΣΜΟΣ"

"GameUI_CustomTab_Title"			"Προσαρμοσμένοι διακομιστές"
"GameUI_CustomTab_Explanation"		"Ο περιηγητής διακομιστών έχει μια νέα καρτέλα στην κορυφή του παραθύρου με την ονομασία «Προσαρμοσμένo»."
"GameUI_CustomTab_Explanation2"		"Οι διακομιστές εδώ έχουν τροποποιηθεί από μέλη της κοινότητας, ώστε να αλλάξει η προεπιλεγμένη εμπειρία παιχνιδιού. Κάντε κλικ στην καρτέλα «Προσαρμοσμένο» για να παίξετε προσαρμοσμένες εκδόσεις του %game%."
"GameUI_CustomTab_Explanation3"		"Κάντε κλικ στον παρακάτω σύνδεσμο για να διαβάσετε περισσότερα για τους προσαρμοσμένους διακομιστές (ο σύνδεσμος θα ανοίξει στον προεπιλεγμένο περιηγητή ιστού σας)."
"GameUI_CustomTab_Link"				"Περισσότερες πληροφορίες για τους προσαρμοσμένους διακομιστές"

"GameUI_MulticoreRendering"		"Πολυπύρηνη απόδοση"

//Novint Haptics
"GameUI_Haptics_TabTitle"	"Falcon"

"GameUI_Haptics_Low"			"Χαμηλή"
"GameUI_Haptics_High"			"Υψηλή"
"GameUI_Haptics_ForceMasterScale"	"Επιβολή κύριας κλίμακας"
"GameUI_Haptics_RecoilScale"		"Δυνάμεις ανάκρουσης"
"GameUI_Haptics_DamageScale"		"Δυνάμεις ζημιάς"
"GameUI_Haptics_MovementScale"		"Περιβαλλοντικές δυνάμεις"
"GameUI_Haptics_PlayerBoxScale"		"Κλίμακα πλαισίου παίκτη"
"GameUI_Haptics_PlayerBoxLabel"		"Έλεγχος παίκτη"
"GameUI_Haptics_PlayerBoxStiffness"	"Σκληρότητα"
"GameUI_Haptics_Scale"			"Κλίμακα"
"GameUI_Haptics_VehicleBoxLabel"	"Χειρισμός οχημάτων"
"GameUI_Haptics_VehicleBoxStiffness"	"Σκληρότητα"
"GameUI_Haptics_Turning"		"Ευαισθησία στρέψης"
"GameUI_Haptics_Aiming"			"Ευαισθησία στόχευσης"

"GameUI_NoSteamStatsTracking"		"Απαιτείται μια σύνδεση στο Steam για την καταγραφή των στατιστικών σας.\nΜόλις πραγματοποιηθεί η σύνδεση θα ειδοποιηθείτε."
"GameUI_SteamStatsNowTracking"		"Πραγματοποιήθηκε μια σύνδεση στο Steam και τα στατιστικά σας τώρα θα καταγράφονται."

// Base Voting (see mod version for mod-specific issue strings, i.e. tf_english.txt)
"GameUI_vote_yes_binding"			"Ναι: %s1"
"GameUI_vote_no_binding"			"Όχι: %s1"
"GameUI_vote_yes_tally"				"Ναι"
"GameUI_vote_no_tally"				"Όχι"

"GameUI_vote_header"				"Ο %s1 θέλει να καλέσει μια ψηφοφορία:"

"GameUI_Vote_Notification_Title"	"Κάλεσμα ψηφοφορίας"
"GameUI_Vote_Notification_Text"		"Ο χρήστης %initiator% θέλει να οργανώσει μια ψηφοφορία"
"GameUI_Vote_Notification_View"		"Προβολή"

"GameUI_Vote_System_Disabled"		"Η ψηφοφορία είναι απενεργοποιημένη"
"GameUI_Vote_Disabled"				" (Ανενεργή)"
"GameUI_Vote_Type"					"Όνομα"
"GameUI_vote_extend_current_map"	"Επέκταση τρέχοντος χάρτη."

"GameUI_vote_yes_instruction_a"			"Πατήστε START"
"GameUI_vote_no_instruction_a"			"Πατήστε BACK"
"GameUI_vote_yes_instruction_b"			"για να ψηφίσετε ΝΑΙ"
"GameUI_vote_no_instruction_b"			"για να ψηφίσετε ΟΧΙ"

"GameUI_vote_yes_pc_instruction"		"Πατήστε F1 για να ψηφίσετε ΝΑΙ"
"GameUI_vote_no_pc_instruction"			"Πατήστε F2 για να ψηφίσετε ΟΧΙ"

"GameUI_vote_yes_sc_instruction"		"Πατήστε %cl_trigger_first_notification% για να ψηφίσετε ΝΑΙ"
"GameUI_vote_no_sc_instruction"			"Πατήστε %cl_decline_first_notification% για να ψηφίσετε ΟΧΙ"

"GameUI_vote_current_vote_count"		"Καταμέτρηση ψήφων:"

"GameUI_vote_passed"				"Η ψηφοφορία πέρασε"
"GameUI_vote_failed"				"Η ψηφοφορία απέτυχε"
"GameUI_vote_failed_quorum"			"Δεν ψήφισαν αρκετοί παίκτες."
"GameUI_vote_failed_yesno"			"Δεν ψήφισαν αρκετοί παίκτες «Ναι»."

"GameUI_vote_failed_vote_spam"			"Δεν μπορείτε να οργανώσετε ψηφοφορία για %s1 δευτερόλεπτα."
"GameUI_vote_failed_vote_spam_min"		"Δεν μπορείτε να οργανώσετε ψηφοφορία για %s1 λεπτό."
"GameUI_vote_failed_vote_spam_mins"		"Δεν μπορείτε να οργανώσετε ψηφοφορία για %s1 λεπτά."
"GameUI_vote_failed_transition_vote"	"Δεν μπορείτε να καλέσετε νέα ψηφοφορία ενώ άλλοι παίκτες ακόμα φορτώνουν."
"GameUI_vote_failed_transition_vote_player"	"Δεν μπορείτε να οργανώσετε νέα ψηφοφορία ενώ ακόμα φορτώνετε."
"GameUI_vote_failed_disabled_issue"		"Ο διακομιστής έχει απενεργοποιήσει αυτό το πρόβλημα."
"GameUI_vote_failed_map_not_found"		"Αυτός ο χάρτης δεν υπάρχει."
"GameUI_vote_failed_map_not_valid"		"Αυτός ο χάρτης δεν βρέθηκε στον κύκλο χαρτών του διακομιστή."
"GameUI_vote_failed_map_name_required"	"Πρέπει να προσδιορίστε ένα όνομα χάρτη."
"GameUI_vote_failed_recently"			"Αυτή η ψηφοφορία κλήθηκε πρόσφατα και δεν μπορεί να γίνει ξανά για τα επόμενα %s1 δευτερόλεπτα."
"GameUI_vote_failed_recently_min"		"Αυτή η ψηφοφορία οργανώθηκε πρόσφατα και δεν μπορεί να γίνει ξανά για το επόμενο %s1 λεπτό."
"GameUI_vote_failed_recently_mins"		"Αυτή η ψηφοφορία οργανώθηκε πρόσφατα και δεν μπορεί να γίνει ξανά για τα επόμενα %s1 λεπτά."
"GameUI_vote_failed_team_cant_call"		"Η ομάδα σας δεν μπορεί να οργανώσει αυτήν την ψηφοφορία."
"GameUI_vote_failed_waitingforplayers"	"Η ψηφοφορία δεν επιτρέπεται κατά την αναμονή για παίκτες."
"GameUI_vote_failed_cannot_kick_admin"	"Δεν μπορείτε να ψηφίσετε για να αποβάλετε τον διαχειριστή του διακομιστή."
"GameUI_vote_failed_scramble_in_prog"	"Ένα ανακάτεμα ομάδων είναι σε εξέλιξη."
"GameUI_vote_failed_spectator"			"Αυτός ο διακομιστής έχει απενεργοποιήσει τη ψηφοφορία για θεατές."
"GameUI_vote_failed_nextlevel_set"		"Το επόμενο επίπεδο έχει ήδη οριστεί."
"GameUI_vote_failed_cannot_kick"		"Αυτός ο παίκτης δεν μπορεί να διωχθεί για άλλα %s1 δευτερόλεπτα."
"GameUI_vote_failed_cannot_kick_min"	"Αυτός ο παίκτης δεν μπορεί να διωχθεί για άλλο %s1 λεπτό."
"GameUI_vote_failed_cannot_kick_mins"	"Αυτός ο παίκτης δεν μπορεί να διωχθεί για άλλα %s1 λεπτά."
"GameUI_vote_failed_round_active"		"Οι παίκτες δεν μπορούν να αποβληθούν κατά τη διάρκεια του γύρου."
"GameUI_vote_failed_vote_in_progress"	"Μια ψηφοφορία είναι σε εξέλιξη."
"GameUI_vote_failed_kick_its_you"		"Δεν μπορείτε να καλέσετε τώρα ψηφοφορία για διώξιμο αυτού του παίκτη."
"GameUI_vote_failed_kick_limit"			"Φτάσατε στο όριο σας για ψήφους αποβολής στον χάρτη ή την αποστολή."
"GameUI_vote_failed_invalid_argument"	"Το όρισμα που χρησιμοποιήθηκε για την ψηφοφορία δεν είναι έγκυρο."

"GameUI_SndMuteLoseFocus"		"Σίγαση ήχου όταν το παράθυρο του παιχνιδιού είναι στο παρασκήνιο."
"GameUI_CloseBrowserOnConnect"	"Κλείσιμο του περιηγητή διακομιστών μετά από σύνδεση σε διακομιστή."

"GameUI_ServerConnectOutOfDate"		"Ο διακομιστής δεν έχει ενημερωθεί στην τελευταία έκδοση.\n"
"GameUI_ServerChallengeIncorrect"	"Δεν έγινε πιστοποίηση του διακομιστή.\nΜπορεί να μην είναι ενημερωμένος.\n"
"GameUI_ServerInsecure"				"Είστε σε μη ασφαλή λειτουργία. Χρειάζεται επανεκκίνηση πριν συνδεθείτε σε ασφαλείς διακομιστές.\n"
"GameUI_ServerRejectBadChallenge"	"Λάθος πιστοποίηση.\n"
"GameUI_ServerRejectLANRestrict"	"Οι τοπικοί διακομιστές περιορίζονται σε τοπικούς χρήστες (κλάση Γ).\n"
"GameUI_ServerRejectBadPassword"	"Λάθος συνθηματικό.\n"
"GameUI_ServerRejectServerFull"		"Ο διακομιστής είναι γεμάτος.\n"
"GameUI_ServerRejectBanned"			"Έχετε αποκλειστεί από αυτόν τον διακομιστή.\n"
"GameUI_ServerRejectFailedChannel"	"Αποτυχία δημιουργίας δικτυακού καναλιού.\n"
"GameUI_ServerRejectOldVersion"		"Ο διακομιστής στον οποίο προσπαθείτε να συνδεθείτε εκτελεί\nπαλαιότερη έκδοση του παιχνιδιού.\n"
"GameUI_ServerRejectNewVersion"		"Ο διακομιστής στον οποίο προσπαθείτε να συνδεθείτε εκτελεί \nνεότερη έκδοση του παιχνιδιού.\n"
"GameUI_ServerRejectBadSteamKey"	"Μη έγκυρο μήκος κλειδιού Steam\n"
"GameUI_ServerRejectOldProtocol"	"Αυτός ο διακομιστής χρησιμοποιεί ένα πρωτόκολλο που είναι παλαιότερο από το δικό σας.\n"
"GameUI_ServerRejectNewProtocol"	"Αυτός ο διακομιστής χρησιμοποιεί ένα νεότερο πρωτόκολλο από εσάς.\n"
"GameUI_ServerRejectInvalidConnection"	"Μη έγκυρη σύνδεση.\n"
"GameUI_ServerRejectInvalidCertLen"		"Μη έγκυρο μήκος πιστοποιητικού γνησιότητας.\n"
"GameUI_ServerRejectInvalidSteamCertLen"	"Σφάλμα μήκους πιστοποιητικού STEAM!\n"
"GameUI_ServerRejectSteam" 			"Απόρριψη επαλήθευσης STEAM\n"
"GameUI_ServerRejectGS" 			"Αποτυχία δημιουργίας τοπικού χρήστη GS\n"
"GameUI_ServerRejectMustUseMatchmaking" "Αυτός ο διακομιστής αποδέχεται συνδέσεις μόνο μέσω εύρεσης παιχνιδιού. Άλλες συνδέσεις δεν γίνονται δεκτές\n"
"GameUI_ServerRequireSteam"		"Ο διακομιστής απαιτεί την ταυτόχρονη εκτέλεση του Steam.\n"
"GameUI_ServerAuthDisabled"			"Πιστοποίηση γνησιότητας ανενεργή.\n"
"GameUI_ServerCDKeyAuthInvalid"		"Η πιστοποίηση γνησιότητας του κλειδιού CD δεν είναι έγκυρη για τους διαδικτυακούς διακομιστές.\n"
"GameUI_ServerInvalidCDKey"			"Μη έγκυρο κλειδί CD.\n"
"GameUI_ServerCDKeyInUse"			"Το κλειδί CD ήδη βρίσκεται σε χρήση.\n"

"GameUI_Confirm"				"ΕΠΙΒΕΒΑΙΩΣΗ"
"GameUI_HDContent"				"Φόρτωση περιεχομένου HD αν είναι διαθέσιμο"
"GameUI_HDRestartRequired_Info" 	"Οι αλλαγές που πραγματοποιήσατε απαιτούν την επανεκκίνηση του παιχνιδιού για να τεθούν σε ισχύ."
} 
}
